	pc1	pc2	#SNP	iid	pop
1419	-0.16977302678537595	0.024161069150784864	494910	HGDP00845.HO	Surui.HO
1420	-0.17077147378361812	0.027054395449467455	496479	HGDP00846.HO	Surui.HO
1421	-0.16704103648869004	0.028282577729395037	496263	HGDP00849.HO	Surui.HO
1422	-0.16660411022104293	0.02864378345490736	496232	HGDP00852.HO	Surui.HO
1423	-0.14670918236075145	0.024573065226780648	499433	HGDP00854.HO	Mayan.HO
1424	-0.16262150704523506	0.02903399570566307	499715	HGDP00855.HO	Mayan.HO
1425	-0.15359453486913938	0.02370624993451006	499951	HGDP00856.HO	Mayan.HO
1426	-0.16426373834153346	0.02424034792877106	499769	HGDP00857.HO	Mayan.HO
1427	-0.15404067151154238	0.023290076739277216	499649	HGDP00858.HO	Mayan.HO
1428	-0.15274370480524477	0.02840683941044037	499773	HGDP00859.HO	Mayan.HO
1429	-0.09436981079566006	0.013858750216661957	499124	HGDP00860.HO	Ignore_Mayan.HO
1430	-0.1293180945867211	0.025238950308962164	500222	HGDP00861.HO	Mayan.HO
1431	-0.14432764800469897	0.022324218521293952	500062	HGDP00862.HO	Mayan.HO
1432	-0.14974056237733366	0.023303864681428813	496291	HGDP00863.HO	Mayan.HO
1433	-0.153664103420669	0.029342767831030257	498905	HGDP00864.HO	Mayan.HO
1434	-0.15974721664197125	0.02265302907355251	500129	HGDP00865.HO	Mayan.HO
1435	-0.13682647128818973	0.020304198924531353	497658	HGDP00868.HO	Mayan.HO
1436	-0.1281115085021896	0.01931212540436448	500034	HGDP00869.HO	Mayan.HO
1437	-0.15470123852291834	0.027937716189491875	500328	HGDP00870.HO	Mayan.HO
1438	-0.10108597658219551	0.019587786210936414	500128	HGDP00871.HO	Ignore_Mayan.HO
1439	-0.15495247102993628	0.03060738921008628	499174	HGDP00872.HO	Mayan.HO
1440	-0.1550027527918405	0.028840884648335282	500093	HGDP00873.HO	Mayan.HO
1441	-0.1477875838849789	0.022269329518553375	499364	HGDP00875.HO	Mayan.HO
1442	-0.10126207291765095	0.01715719119530962	500345	HGDP00876.HO	Ignore_Mayan.HO
1443	-0.13814435271536823	0.022572005170739207	500286	HGDP00877.HO	Mayan.HO
1444	0.03660486930102733	0.022015273846422243	500306	HGDP00879.HO	Russian.HO
1445	0.03939000344253396	0.015616386150191185	500387	HGDP00880.HO	Russian.HO
1446	0.03229802008924683	0.018302600876265035	500228	HGDP00881.HO	Ignore_Russian.HO
1447	0.030819741279158135	0.019144292408360065	498968	HGDP00882.HO	Russian.HO
1448	0.03603088288370924	0.02373352740372093	500261	HGDP00883.HO	Russian.HO
